Time,PacketID,NodeID,EventType,Size,PacketType,PacketState,Comment
20,0,0,1,168,ECDH,BEGIN,transmit
20.0105,0,1,2,168,ECDH,BEGIN,receive
20.0105,1,1,1,168,ECDH,FINAL,transmit
20.0211,1,0,2,168,ECDH,FINAL,receive
21.0211,2,0,1,92,MSG,,transmit
21.0314,2,1,2,92,MSG,,receive
21.0314,3,1,1,93,MSG,,transmit
21.0417,3,0,2,93,MSG,,receive
40,4,0,1,168,ECDH,BEGIN,transmit
40.0105,4,1,2,168,ECDH,BEGIN,receive
40.0105,5,1,1,168,ECDH,FINAL,transmit
40.0211,5,0,2,168,ECDH,FINAL,receive
41.0211,6,0,1,93,MSG,,transmit
41.0314,6,1,2,93,MSG,,receive
41.0314,7,1,1,93,MSG,,transmit
41.0417,7,0,2,93,MSG,,receive
60,8,0,1,168,ECDH,BEGIN,transmit
60.0105,8,1,2,168,ECDH,BEGIN,receive
60.0105,9,1,1,168,ECDH,FINAL,transmit
60.0211,9,0,2,168,ECDH,FINAL,receive
61.0211,10,0,1,92,MSG,,transmit
61.0314,10,1,2,92,MSG,,receive
61.0314,11,1,1,93,MSG,,transmit
61.0417,11,0,2,93,MSG,,receive
80,12,0,1,168,ECDH,BEGIN,transmit
80.0105,12,1,2,168,ECDH,BEGIN,receive
80.0105,13,1,1,168,ECDH,FINAL,transmit
80.0211,13,0,2,168,ECDH,FINAL,receive
81.0211,14,0,1,92,MSG,,transmit
81.0314,14,1,2,92,MSG,,receive
81.0314,15,1,1,92,MSG,,transmit
81.0417,15,0,2,92,MSG,,receive
100,16,0,1,168,ECDH,BEGIN,transmit
100.011,16,1,2,168,ECDH,BEGIN,receive
100.011,17,1,1,168,ECDH,FINAL,transmit
100.021,17,0,2,168,ECDH,FINAL,receive
101.021,18,0,1,93,MSG,,transmit
101.031,18,1,2,93,MSG,,receive
101.031,19,1,1,92,MSG,,transmit
101.042,19,0,2,92,MSG,,receive
120,20,0,1,168,ECDH,BEGIN,transmit
120.011,20,1,2,168,ECDH,BEGIN,receive
120.011,21,1,1,168,ECDH,FINAL,transmit
120.021,21,0,2,168,ECDH,FINAL,receive
121.021,22,0,1,93,MSG,,transmit
121.031,22,1,2,93,MSG,,receive
121.031,23,1,1,92,MSG,,transmit
121.042,23,0,2,92,MSG,,receive
140,24,0,1,168,ECDH,BEGIN,transmit
140.011,24,1,2,168,ECDH,BEGIN,receive
140.011,25,1,1,168,ECDH,FINAL,transmit
140.021,25,0,2,168,ECDH,FINAL,receive
141.021,26,0,1,93,MSG,,transmit
141.031,26,1,2,93,MSG,,receive
141.031,27,1,1,93,MSG,,transmit
141.042,27,0,2,93,MSG,,receive
160,28,0,1,168,ECDH,BEGIN,transmit
160.011,28,1,2,168,ECDH,BEGIN,receive
160.011,29,1,1,168,ECDH,FINAL,transmit
160.021,29,0,2,168,ECDH,FINAL,receive
161.021,30,0,1,93,MSG,,transmit
161.031,30,1,2,93,MSG,,receive
161.031,31,1,1,93,MSG,,transmit
161.042,31,0,2,93,MSG,,receive
180,32,0,1,168,ECDH,BEGIN,transmit
180.011,32,1,2,168,ECDH,BEGIN,receive
180.011,33,1,1,168,ECDH,FINAL,transmit
180.021,33,0,2,168,ECDH,FINAL,receive
181.021,34,0,1,93,MSG,,transmit
181.031,34,1,2,93,MSG,,receive
181.031,35,1,1,93,MSG,,transmit
181.042,35,0,2,93,MSG,,receive
200,36,0,1,168,ECDH,BEGIN,transmit
200.011,36,1,2,168,ECDH,BEGIN,receive
200.011,37,1,1,168,ECDH,FINAL,transmit
200.021,37,0,2,168,ECDH,FINAL,receive
201.021,38,0,1,93,MSG,,transmit
201.031,38,1,2,93,MSG,,receive
201.031,39,1,1,93,MSG,,transmit
201.042,39,0,2,93,MSG,,receive
220,40,0,1,168,ECDH,BEGIN,transmit
220.011,40,1,2,168,ECDH,BEGIN,receive
220.011,41,1,1,168,ECDH,FINAL,transmit
220.021,41,0,2,168,ECDH,FINAL,receive
221.021,42,0,1,92,MSG,,transmit
221.031,42,1,2,92,MSG,,receive
221.031,43,1,1,93,MSG,,transmit
221.042,43,0,2,93,MSG,,receive
240,44,0,1,168,ECDH,BEGIN,transmit
240.011,44,1,2,168,ECDH,BEGIN,receive
240.011,45,1,1,168,ECDH,FINAL,transmit
240.021,45,0,2,168,ECDH,FINAL,receive
241.021,46,0,1,91,MSG,,transmit
241.031,46,1,2,91,MSG,,receive
241.031,47,1,1,93,MSG,,transmit
241.042,47,0,2,93,MSG,,receive
260,48,0,1,168,ECDH,BEGIN,transmit
260.011,48,1,2,168,ECDH,BEGIN,receive
260.011,49,1,1,168,ECDH,FINAL,transmit
260.021,49,0,2,168,ECDH,FINAL,receive
261.021,50,0,1,93,MSG,,transmit
261.031,50,1,2,93,MSG,,receive
261.031,51,1,1,92,MSG,,transmit
261.042,51,0,2,92,MSG,,receive
280,52,0,1,168,ECDH,BEGIN,transmit
280.011,52,1,2,168,ECDH,BEGIN,receive
280.011,53,1,1,168,ECDH,FINAL,transmit
280.021,53,0,2,168,ECDH,FINAL,receive
281.021,54,0,1,93,MSG,,transmit
281.031,54,1,2,93,MSG,,receive
281.031,55,1,1,93,MSG,,transmit
281.042,55,0,2,93,MSG,,receive
300,56,0,1,168,ECDH,BEGIN,transmit
300.011,56,1,2,168,ECDH,BEGIN,receive
300.011,57,1,1,168,ECDH,FINAL,transmit
300.021,57,0,2,168,ECDH,FINAL,receive
301.021,58,0,1,92,MSG,,transmit
301.031,58,1,2,92,MSG,,receive
301.031,59,1,1,90,MSG,,transmit
301.042,59,0,2,90,MSG,,receive
320,60,0,1,168,ECDH,BEGIN,transmit
320.011,60,1,2,168,ECDH,BEGIN,receive
320.011,61,1,1,168,ECDH,FINAL,transmit
320.021,61,0,2,168,ECDH,FINAL,receive
321.021,62,0,1,93,MSG,,transmit
321.031,62,1,2,93,MSG,,receive
321.031,63,1,1,93,MSG,,transmit
321.042,63,0,2,93,MSG,,receive
340,64,0,1,168,ECDH,BEGIN,transmit
340.011,64,1,2,168,ECDH,BEGIN,receive
340.011,65,1,1,168,ECDH,FINAL,transmit
340.021,65,0,2,168,ECDH,FINAL,receive
341.021,66,0,1,93,MSG,,transmit
341.031,66,1,2,93,MSG,,receive
341.031,67,1,1,93,MSG,,transmit
341.042,67,0,2,93,MSG,,receive
360,68,0,1,168,ECDH,BEGIN,transmit
360.011,68,1,2,168,ECDH,BEGIN,receive
360.011,69,1,1,168,ECDH,FINAL,transmit
360.021,69,0,2,168,ECDH,FINAL,receive
361.021,70,0,1,92,MSG,,transmit
361.031,70,1,2,92,MSG,,receive
361.031,71,1,1,93,MSG,,transmit
361.042,71,0,2,93,MSG,,receive
380,72,0,1,168,ECDH,BEGIN,transmit
380.011,72,1,2,168,ECDH,BEGIN,receive
380.011,73,1,1,168,ECDH,FINAL,transmit
380.021,73,0,2,168,ECDH,FINAL,receive
381.021,74,0,1,93,MSG,,transmit
381.031,74,1,2,93,MSG,,receive
381.031,75,1,1,93,MSG,,transmit
381.042,75,0,2,93,MSG,,receive
400,76,0,1,168,ECDH,BEGIN,transmit
400.011,76,1,2,168,ECDH,BEGIN,receive
400.011,77,1,1,168,ECDH,FINAL,transmit
400.021,77,0,2,168,ECDH,FINAL,receive
401.021,78,0,1,93,MSG,,transmit
401.031,78,1,2,93,MSG,,receive
401.031,79,1,1,92,MSG,,transmit
401.042,79,0,2,92,MSG,,receive
420,80,0,1,168,ECDH,BEGIN,transmit
420.011,80,1,2,168,ECDH,BEGIN,receive
420.011,81,1,1,168,ECDH,FINAL,transmit
420.021,81,0,2,168,ECDH,FINAL,receive
421.021,82,0,1,92,MSG,,transmit
421.031,82,1,2,92,MSG,,receive
421.031,83,1,1,92,MSG,,transmit
421.042,83,0,2,92,MSG,,receive
440,84,0,1,168,ECDH,BEGIN,transmit
440.011,84,1,2,168,ECDH,BEGIN,receive
440.011,85,1,1,168,ECDH,FINAL,transmit
440.021,85,0,2,168,ECDH,FINAL,receive
441.021,86,0,1,92,MSG,,transmit
441.031,86,1,2,92,MSG,,receive
441.031,87,1,1,90,MSG,,transmit
441.042,87,0,2,90,MSG,,receive
460,88,0,1,168,ECDH,BEGIN,transmit
460.011,88,1,2,168,ECDH,BEGIN,receive
460.011,89,1,1,168,ECDH,FINAL,transmit
460.021,89,0,2,168,ECDH,FINAL,receive
461.021,90,0,1,93,MSG,,transmit
461.031,90,1,2,93,MSG,,receive
461.031,91,1,1,93,MSG,,transmit
461.042,91,0,2,93,MSG,,receive
480,92,0,1,168,ECDH,BEGIN,transmit
480.011,92,1,2,168,ECDH,BEGIN,receive
480.011,93,1,1,168,ECDH,FINAL,transmit
480.021,93,0,2,168,ECDH,FINAL,receive
481.021,94,0,1,92,MSG,,transmit
481.031,94,1,2,92,MSG,,receive
481.031,95,1,1,93,MSG,,transmit
481.042,95,0,2,93,MSG,,receive
500,96,0,1,168,ECDH,BEGIN,transmit
500.011,96,1,2,168,ECDH,BEGIN,receive
500.011,97,1,1,168,ECDH,FINAL,transmit
500.021,97,0,2,168,ECDH,FINAL,receive
501.021,98,0,1,93,MSG,,transmit
501.031,98,1,2,93,MSG,,receive
501.031,99,1,1,93,MSG,,transmit
501.042,99,0,2,93,MSG,,receive
520,100,0,1,168,ECDH,BEGIN,transmit
520.011,100,1,2,168,ECDH,BEGIN,receive
520.011,101,1,1,168,ECDH,FINAL,transmit
520.021,101,0,2,168,ECDH,FINAL,receive
521.021,102,0,1,93,MSG,,transmit
521.031,102,1,2,93,MSG,,receive
521.031,103,1,1,93,MSG,,transmit
521.042,103,0,2,93,MSG,,receive
540,104,0,1,168,ECDH,BEGIN,transmit
540.011,104,1,2,168,ECDH,BEGIN,receive
540.011,105,1,1,168,ECDH,FINAL,transmit
540.021,105,0,2,168,ECDH,FINAL,receive
