Time,PacketID,NodeID,EventType,Size,PacketType,PacketState,Comment
20,0,0,1,168,ECDH,BEGIN,transmit
23.0248,0,1,2,168,ECDH,BEGIN,receive
23.0248,1,1,1,168,ECDH,FINAL,transmit
26.0495,1,0,2,168,ECDH,FINAL,receive
27.0495,2,0,1,93,MSG,,transmit
30.0649,2,1,2,93,MSG,,receive
30.0649,3,1,1,93,MSG,,transmit
33.0802,3,0,2,93,MSG,,receive
40,4,0,1,168,ECDH,BEGIN,transmit
43.0247,4,1,2,168,ECDH,BEGIN,receive
43.0247,5,1,1,168,ECDH,FINAL,transmit
46.0495,5,0,2,168,ECDH,FINAL,receive
47.0495,6,0,1,93,MSG,,transmit
50.0649,6,1,2,93,MSG,,receive
50.0649,7,1,1,92,MSG,,transmit
53.0801,7,0,2,92,MSG,,receive
60,8,0,1,168,ECDH,BEGIN,transmit
63.0247,8,1,2,168,ECDH,BEGIN,receive
63.0247,9,1,1,168,ECDH,FINAL,transmit
66.0495,9,0,2,168,ECDH,FINAL,receive
67.0495,10,0,1,93,MSG,,transmit
70.0649,10,1,2,93,MSG,,receive
70.0649,11,1,1,93,MSG,,transmit
73.0802,11,0,2,93,MSG,,receive
80,12,0,1,168,ECDH,BEGIN,transmit
83.0247,12,1,2,168,ECDH,BEGIN,receive
83.0247,13,1,1,168,ECDH,FINAL,transmit
86.0495,13,0,2,168,ECDH,FINAL,receive
87.0495,14,0,1,93,MSG,,transmit
90.0649,14,1,2,93,MSG,,receive
90.0649,15,1,1,93,MSG,,transmit
93.0802,15,0,2,93,MSG,,receive
100,16,0,1,168,ECDH,BEGIN,transmit
103.025,16,1,2,168,ECDH,BEGIN,receive
103.025,17,1,1,168,ECDH,FINAL,transmit
106.049,17,0,2,168,ECDH,FINAL,receive
107.049,18,0,1,93,MSG,,transmit
110.065,18,1,2,93,MSG,,receive
110.065,19,1,1,93,MSG,,transmit
113.08,19,0,2,93,MSG,,receive
120,20,0,1,168,ECDH,BEGIN,transmit
123.025,20,1,2,168,ECDH,BEGIN,receive
123.025,21,1,1,168,ECDH,FINAL,transmit
126.049,21,0,2,168,ECDH,FINAL,receive
127.049,22,0,1,92,MSG,,transmit
130.065,22,1,2,92,MSG,,receive
130.065,23,1,1,93,MSG,,transmit
133.08,23,0,2,93,MSG,,receive
140,24,0,1,168,ECDH,BEGIN,transmit
143.025,24,1,2,168,ECDH,BEGIN,receive
143.025,25,1,1,168,ECDH,FINAL,transmit
146.049,25,0,2,168,ECDH,FINAL,receive
147.049,26,0,1,93,MSG,,transmit
150.065,26,1,2,93,MSG,,receive
150.065,27,1,1,93,MSG,,transmit
153.08,27,0,2,93,MSG,,receive
160,28,0,1,168,ECDH,BEGIN,transmit
163.025,28,1,2,168,ECDH,BEGIN,receive
163.025,29,1,1,168,ECDH,FINAL,transmit
166.049,29,0,2,168,ECDH,FINAL,receive
167.049,30,0,1,93,MSG,,transmit
170.065,30,1,2,93,MSG,,receive
170.065,31,1,1,93,MSG,,transmit
173.08,31,0,2,93,MSG,,receive
180,32,0,1,168,ECDH,BEGIN,transmit
183.025,32,1,2,168,ECDH,BEGIN,receive
183.025,33,1,1,168,ECDH,FINAL,transmit
186.049,33,0,2,168,ECDH,FINAL,receive
187.049,34,0,1,92,MSG,,transmit
190.065,34,1,2,92,MSG,,receive
190.065,35,1,1,93,MSG,,transmit
193.08,35,0,2,93,MSG,,receive
200,36,0,1,168,ECDH,BEGIN,transmit
203.025,36,1,2,168,ECDH,BEGIN,receive
203.025,37,1,1,168,ECDH,FINAL,transmit
206.049,37,0,2,168,ECDH,FINAL,receive
207.049,38,0,1,92,MSG,,transmit
210.065,38,1,2,92,MSG,,receive
210.065,39,1,1,93,MSG,,transmit
213.08,39,0,2,93,MSG,,receive
220,40,0,1,168,ECDH,BEGIN,transmit
223.025,40,1,2,168,ECDH,BEGIN,receive
223.025,41,1,1,168,ECDH,FINAL,transmit
226.049,41,0,2,168,ECDH,FINAL,receive
227.049,42,0,1,93,MSG,,transmit
230.065,42,1,2,93,MSG,,receive
230.065,43,1,1,92,MSG,,transmit
233.08,43,0,2,92,MSG,,receive
240,44,0,1,168,ECDH,BEGIN,transmit
243.025,44,1,2,168,ECDH,BEGIN,receive
243.025,45,1,1,168,ECDH,FINAL,transmit
246.049,45,0,2,168,ECDH,FINAL,receive
247.049,46,0,1,93,MSG,,transmit
250.065,46,1,2,93,MSG,,receive
250.065,47,1,1,93,MSG,,transmit
253.08,47,0,2,93,MSG,,receive
260,48,0,1,168,ECDH,BEGIN,transmit
263.025,48,1,2,168,ECDH,BEGIN,receive
263.025,49,1,1,168,ECDH,FINAL,transmit
266.05,49,0,2,168,ECDH,FINAL,receive
