Time,PacketID,NodeID,EventType,Size,PacketType,PacketState,Comment
20,0,0,1,74,NC,BEGIN,transmit
20.0103,0,1,2,74,NC,BEGIN,receive
20.0103,1,1,1,76,NC,UPDATE,transmit
20.0206,1,0,2,76,NC,UPDATE,receive
20.0206,2,0,1,74,NC,UPDATE,transmit
20.0308,2,1,2,74,NC,UPDATE,receive
20.0308,3,1,1,76,NC,UPDATE,transmit
20.0411,3,0,2,76,NC,UPDATE,receive
20.0411,4,0,1,76,NC,UPDATE,transmit
20.0514,4,1,2,76,NC,UPDATE,receive
20.0514,5,1,1,75,NC,UPDATE,transmit
20.0617,5,0,2,75,NC,UPDATE,receive
20.0617,6,0,1,73,NC,UPDATE,transmit
20.072,6,1,2,73,NC,UPDATE,receive
20.072,7,1,1,71,NC,UPDATE,transmit
20.0822,7,0,2,71,NC,UPDATE,receive
20.0822,8,0,1,76,NC,UPDATE,transmit
20.0925,8,1,2,76,NC,UPDATE,receive
20.0925,9,1,1,74,NC,UPDATE,transmit
20.1028,9,0,2,74,NC,UPDATE,receive
20.1028,10,0,1,78,NC,UPDATE,transmit
20.1131,10,1,2,78,NC,UPDATE,receive
20.1131,11,1,1,77,NC,UPDATE,transmit
20.1234,11,0,2,77,NC,UPDATE,receive
20.1234,12,0,1,72,NC,UPDATE,transmit
20.1336,12,1,2,72,NC,UPDATE,receive
20.1336,13,1,1,78,NC,UPDATE,transmit
20.1439,13,0,2,78,NC,UPDATE,receive
20.1439,14,0,1,77,NC,UPDATE,transmit
20.1542,14,1,2,77,NC,UPDATE,receive
20.1542,15,1,1,75,NC,UPDATE,transmit
20.1645,15,0,2,75,NC,UPDATE,receive
20.1645,16,0,1,76,NC,UPDATE,transmit
20.1748,16,1,2,76,NC,UPDATE,receive
20.1748,17,1,1,78,NC,UPDATE,transmit
20.1851,17,0,2,78,NC,UPDATE,receive
20.1851,18,0,1,74,NC,UPDATE,transmit
20.1953,18,1,2,74,NC,UPDATE,receive
20.1953,19,1,1,76,NC,UPDATE,transmit
20.2056,19,0,2,76,NC,UPDATE,receive
20.2056,20,0,1,73,NC,UPDATE,transmit
20.2159,20,1,2,73,NC,UPDATE,receive
20.2159,21,1,1,77,NC,UPDATE,transmit
20.2262,21,0,2,77,NC,UPDATE,receive
20.2262,22,0,1,74,NC,UPDATE,transmit
20.2365,22,1,2,74,NC,UPDATE,receive
20.2365,23,1,1,74,NC,UPDATE,transmit
20.2467,23,0,2,74,NC,UPDATE,receive
20.2467,24,0,1,78,NC,UPDATE,transmit
20.257,24,1,2,78,NC,UPDATE,receive
20.257,25,1,1,74,NC,UPDATE,transmit
20.2673,25,0,2,74,NC,UPDATE,receive
20.2673,26,0,1,74,NC,UPDATE,transmit
20.2776,26,1,2,74,NC,UPDATE,receive
20.2776,27,1,1,71,NC,UPDATE,transmit
20.2878,27,0,2,71,NC,UPDATE,receive
20.2878,28,0,1,71,NC,UPDATE,transmit
20.2981,28,1,2,71,NC,UPDATE,receive
20.2981,29,1,1,74,NC,UPDATE,transmit
20.3084,29,0,2,74,NC,UPDATE,receive
20.3084,30,0,1,77,NC,UPDATE,transmit
20.3187,30,1,2,77,NC,UPDATE,receive
20.3187,31,1,1,72,NC,UPDATE,transmit
20.3289,31,0,2,72,NC,UPDATE,receive
20.3289,32,0,1,71,NC,UPDATE,transmit
20.3392,32,1,2,71,NC,UPDATE,receive
20.3392,33,1,1,73,NC,UPDATE,transmit
20.3495,33,0,2,73,NC,UPDATE,receive
20.3495,34,0,1,70,NC,UPDATE,transmit
20.3598,34,1,2,70,NC,UPDATE,receive
20.3598,35,1,1,72,NC,UPDATE,transmit
20.37,35,0,2,72,NC,UPDATE,receive
20.37,36,0,1,76,NC,UPDATE,transmit
20.3803,36,1,2,76,NC,UPDATE,receive
20.3803,37,1,1,74,NC,UPDATE,transmit
20.3906,37,0,2,74,NC,UPDATE,receive
20.3906,38,0,1,73,NC,UPDATE,transmit
20.4009,38,1,2,73,NC,UPDATE,receive
20.4009,39,1,1,76,NC,UPDATE,transmit
20.4111,39,0,2,76,NC,UPDATE,receive
20.4111,40,0,1,76,NC,UPDATE,transmit
20.4214,40,1,2,76,NC,UPDATE,receive
20.4214,41,1,1,71,NC,UPDATE,transmit
20.4317,41,0,2,71,NC,UPDATE,receive
20.4317,42,0,1,78,NC,UPDATE,transmit
20.442,42,1,2,78,NC,UPDATE,receive
20.442,43,1,1,78,NC,UPDATE,transmit
20.4523,43,0,2,78,NC,UPDATE,receive
20.4523,44,0,1,78,NC,UPDATE,transmit
20.4626,44,1,2,78,NC,UPDATE,receive
20.4626,45,1,1,74,NC,UPDATE,transmit
20.4728,45,0,2,74,NC,UPDATE,receive
20.4728,46,0,1,73,NC,UPDATE,transmit
20.4831,46,1,2,73,NC,UPDATE,receive
20.4831,47,1,1,78,NC,UPDATE,transmit
20.4934,47,0,2,78,NC,UPDATE,receive
20.4934,48,0,1,71,NC,UPDATE,transmit
20.5037,48,1,2,71,NC,UPDATE,receive
20.5037,49,1,1,77,NC,UPDATE,transmit
20.514,49,0,2,77,NC,UPDATE,receive
20.514,50,0,1,70,NC,UPDATE,transmit
20.5242,50,1,2,70,NC,UPDATE,receive
20.5242,51,1,1,79,NC,UPDATE,transmit
20.5345,51,0,2,79,NC,UPDATE,receive
20.5345,52,0,1,74,NC,UPDATE,transmit
20.5448,52,1,2,74,NC,UPDATE,receive
20.5448,53,1,1,77,NC,UPDATE,transmit
20.5551,53,0,2,77,NC,UPDATE,receive
20.5551,54,0,1,74,NC,UPDATE,transmit
20.5654,54,1,2,74,NC,UPDATE,receive
20.5654,55,1,1,71,NC,UPDATE,transmit
20.5756,55,0,2,71,NC,UPDATE,receive
20.5756,56,0,1,71,NC,UPDATE,transmit
20.5859,56,1,2,71,NC,UPDATE,receive
20.5859,57,1,1,78,NC,UPDATE,transmit
20.5962,57,0,2,78,NC,UPDATE,receive
20.5962,58,0,1,75,NC,UPDATE,transmit
20.6065,58,1,2,75,NC,UPDATE,receive
20.6065,59,1,1,76,NC,UPDATE,transmit
20.6167,59,0,2,76,NC,UPDATE,receive
20.6167,60,0,1,76,NC,UPDATE,transmit
20.627,60,1,2,76,NC,UPDATE,receive
20.627,61,1,1,73,NC,UPDATE,transmit
20.6373,61,0,2,73,NC,UPDATE,receive
20.6373,62,0,1,74,NC,UPDATE,transmit
20.6476,62,1,2,74,NC,UPDATE,receive
20.6476,63,1,1,75,NC,UPDATE,transmit
20.6579,63,0,2,75,NC,UPDATE,receive
20.6579,64,0,1,73,NC,UPDATE,transmit
20.6681,64,1,2,73,NC,UPDATE,receive
20.6681,65,1,1,76,NC,UPDATE,transmit
20.6784,65,0,2,76,NC,UPDATE,receive
20.6784,66,0,1,70,NC,UPDATE,transmit
20.6887,66,1,2,70,NC,UPDATE,receive
20.6887,67,1,1,76,NC,UPDATE,transmit
20.699,67,0,2,76,NC,UPDATE,receive
20.699,68,0,1,70,NC,UPDATE,transmit
20.7092,68,1,2,70,NC,UPDATE,receive
20.7092,69,1,1,75,NC,UPDATE,transmit
20.7195,69,0,2,75,NC,UPDATE,receive
20.7195,70,0,1,73,NC,UPDATE,transmit
20.7298,70,1,2,73,NC,UPDATE,receive
20.7298,71,1,1,72,NC,UPDATE,transmit
20.7401,71,0,2,72,NC,UPDATE,receive
20.7401,72,0,1,78,NC,UPDATE,transmit
20.7503,72,1,2,78,NC,UPDATE,receive
20.7503,73,1,1,73,NC,UPDATE,transmit
20.7606,73,0,2,73,NC,UPDATE,receive
20.7606,74,0,1,75,NC,UPDATE,transmit
20.7709,74,1,2,75,NC,UPDATE,receive
20.7709,75,1,1,79,NC,UPDATE,transmit
20.7812,75,0,2,79,NC,UPDATE,receive
20.7812,76,0,1,76,NC,UPDATE,transmit
20.7915,76,1,2,76,NC,UPDATE,receive
20.7915,77,1,1,72,NC,UPDATE,transmit
20.8017,77,0,2,72,NC,UPDATE,receive
20.8017,78,0,1,68,NC,UPDATE,transmit
20.812,78,1,2,68,NC,UPDATE,receive
20.812,79,1,1,73,NC,UPDATE,transmit
20.8223,79,0,2,73,NC,UPDATE,receive
20.8223,80,0,1,74,NC,UPDATE,transmit
20.8326,80,1,2,74,NC,UPDATE,receive
20.8326,81,1,1,74,NC,UPDATE,transmit
20.8428,81,0,2,74,NC,UPDATE,receive
20.8428,82,0,1,70,NC,UPDATE,transmit
20.8531,82,1,2,70,NC,UPDATE,receive
20.8531,83,1,1,73,NC,UPDATE,transmit
20.8634,83,0,2,73,NC,UPDATE,receive
20.8634,84,0,1,75,NC,UPDATE,transmit
20.8737,84,1,2,75,NC,UPDATE,receive
20.8737,85,1,1,76,NC,UPDATE,transmit
20.8839,85,0,2,76,NC,UPDATE,receive
20.8839,86,0,1,72,NC,UPDATE,transmit
20.8942,86,1,2,72,NC,UPDATE,receive
20.8942,87,1,1,77,NC,UPDATE,transmit
20.9045,87,0,2,77,NC,UPDATE,receive
20.9045,88,0,1,74,NC,UPDATE,transmit
20.9148,88,1,2,74,NC,UPDATE,receive
20.9148,89,1,1,75,NC,UPDATE,transmit
20.9251,89,0,2,75,NC,UPDATE,receive
20.9251,90,0,1,75,NC,UPDATE,transmit
