Time,PacketID,NodeID,EventType,Size,PacketType,PacketState,Comment
20,0,0,1,69,NC,BEGIN,transmit
23.0124,0,1,2,69,NC,BEGIN,receive
23.0124,1,1,1,75,NC,UPDATE,transmit
26.0255,1,0,2,75,NC,UPDATE,receive
26.0255,2,0,1,75,NC,UPDATE,transmit
29.0386,2,1,2,75,NC,UPDATE,receive
29.0386,3,1,1,71,NC,UPDATE,transmit
32.0512,3,0,2,71,NC,UPDATE,receive
32.0512,4,0,1,73,NC,UPDATE,transmit
35.0641,4,1,2,73,NC,UPDATE,receive
35.0641,5,1,1,75,NC,UPDATE,transmit
38.0772,5,0,2,75,NC,UPDATE,receive
38.0772,6,0,1,72,NC,UPDATE,transmit
40,7,0,1,72,NC,BEGIN,transmit
41.09,6,1,2,72,NC,UPDATE,receive
41.09,8,1,1,72,NC,UPDATE,transmit
43.0127,7,1,2,72,NC,BEGIN,receive
43.0127,9,1,1,77,NC,UPDATE,transmit
44.1027,8,0,2,72,NC,UPDATE,receive
44.1027,10,0,1,73,NC,UPDATE,transmit
46.0261,9,0,2,77,NC,UPDATE,receive
46.0261,11,0,1,77,NC,UPDATE,transmit
47.1156,10,1,2,73,NC,UPDATE,receive
47.1156,12,1,1,76,NC,UPDATE,transmit
49.0395,11,1,2,77,NC,UPDATE,receive
49.0395,13,1,1,74,NC,UPDATE,transmit
50.1289,12,0,2,76,NC,UPDATE,receive
50.1289,14,0,1,72,NC,UPDATE,transmit
52.0525,13,0,2,74,NC,UPDATE,receive
52.0525,15,0,1,78,NC,UPDATE,transmit
53.1416,14,1,2,72,NC,UPDATE,receive
53.1416,16,1,1,70,NC,UPDATE,transmit
55.066,15,1,2,78,NC,UPDATE,receive
55.066,17,1,1,79,NC,UPDATE,transmit
56.1541,16,0,2,70,NC,UPDATE,receive
56.1541,18,0,1,74,NC,UPDATE,transmit
58.0796,17,0,2,79,NC,UPDATE,receive
58.0796,19,0,1,69,NC,UPDATE,transmit
59.1671,18,1,2,74,NC,UPDATE,receive
59.1671,20,1,1,76,NC,UPDATE,transmit
60,21,0,1,72,NC,BEGIN,transmit
61.092,19,1,2,69,NC,UPDATE,receive
61.092,22,1,1,75,NC,UPDATE,transmit
62.1804,20,0,2,76,NC,UPDATE,receive
62.1804,23,0,1,76,NC,UPDATE,transmit
63.0127,21,1,2,72,NC,BEGIN,receive
63.0127,24,1,1,79,NC,UPDATE,transmit
64.1051,22,0,2,75,NC,UPDATE,receive
64.1051,25,0,1,75,NC,UPDATE,transmit
65.1936,23,1,2,76,NC,UPDATE,receive
65.1936,26,1,1,75,NC,UPDATE,transmit
66.0264,24,0,2,79,NC,UPDATE,receive
66.0264,27,0,1,73,NC,UPDATE,transmit
67.1182,25,1,2,75,NC,UPDATE,receive
67.1182,28,1,1,72,NC,UPDATE,transmit
68.2067,26,0,2,75,NC,UPDATE,receive
68.2067,29,0,1,73,NC,UPDATE,transmit
69.0392,27,1,2,73,NC,UPDATE,receive
69.0392,30,1,1,73,NC,UPDATE,transmit
70.131,28,0,2,72,NC,UPDATE,receive
70.131,31,0,1,72,NC,UPDATE,transmit
71.2196,29,1,2,73,NC,UPDATE,receive
71.2196,32,1,1,72,NC,UPDATE,transmit
72.0521,30,0,2,73,NC,UPDATE,receive
72.0521,33,0,1,75,NC,UPDATE,transmit
73.1437,31,1,2,72,NC,UPDATE,receive
73.1437,34,1,1,72,NC,UPDATE,transmit
74.2324,32,0,2,72,NC,UPDATE,receive
74.2324,35,0,1,72,NC,UPDATE,transmit
75.0652,33,1,2,75,NC,UPDATE,receive
75.0652,36,1,1,73,NC,UPDATE,transmit
76.1565,34,0,2,72,NC,UPDATE,receive
76.1565,37,0,1,78,NC,UPDATE,transmit
77.2451,35,1,2,72,NC,UPDATE,receive
77.2451,38,1,1,77,NC,UPDATE,transmit
78.0781,36,0,2,73,NC,UPDATE,receive
78.0781,39,0,1,73,NC,UPDATE,transmit
79.17,37,1,2,78,NC,UPDATE,receive
79.17,40,1,1,72,NC,UPDATE,transmit
80,41,0,1,66,NC,BEGIN,transmit
80.2585,38,0,2,77,NC,UPDATE,receive
80.2585,42,0,1,72,NC,UPDATE,transmit
81.091,39,1,2,73,NC,UPDATE,receive
81.091,43,1,1,75,NC,UPDATE,transmit
82.1827,40,0,2,72,NC,UPDATE,receive
82.1827,44,0,1,76,NC,UPDATE,transmit
83.012,41,1,2,66,NC,BEGIN,receive
83.012,45,1,1,75,NC,UPDATE,transmit
83.2712,42,1,2,72,NC,UPDATE,receive
83.2712,46,1,1,74,NC,UPDATE,transmit
84.1041,43,0,2,75,NC,UPDATE,receive
84.1041,47,0,1,71,NC,UPDATE,transmit
85.196,44,1,2,76,NC,UPDATE,receive
85.196,48,1,1,78,NC,UPDATE,transmit
86.0251,45,0,2,75,NC,UPDATE,receive
86.0251,49,0,1,74,NC,UPDATE,transmit
86.2842,46,0,2,74,NC,UPDATE,receive
86.2842,50,0,1,76,NC,UPDATE,transmit
87.1167,47,1,2,71,NC,UPDATE,receive
87.1167,51,1,1,75,NC,UPDATE,transmit
88.2095,48,0,2,78,NC,UPDATE,receive
88.2095,52,0,1,73,NC,UPDATE,transmit
89.0381,49,1,2,74,NC,UPDATE,receive
89.0381,53,1,1,78,NC,UPDATE,transmit
89.2975,50,1,2,76,NC,UPDATE,receive
89.2975,54,1,1,72,NC,UPDATE,transmit
90.1299,51,0,2,75,NC,UPDATE,receive
90.1299,55,0,1,80,NC,UPDATE,transmit
91.2224,52,1,2,73,NC,UPDATE,receive
91.2224,56,1,1,73,NC,UPDATE,transmit
92.0516,53,0,2,78,NC,UPDATE,receive
92.0516,57,0,1,74,NC,UPDATE,transmit
92.3102,54,0,2,72,NC,UPDATE,receive
92.3102,58,0,1,76,NC,UPDATE,transmit
93.1436,55,1,2,80,NC,UPDATE,receive
93.1436,59,1,1,67,NC,UPDATE,transmit
94.2352,56,0,2,73,NC,UPDATE,receive
94.2352,60,0,1,73,NC,UPDATE,transmit
95.0646,57,1,2,74,NC,UPDATE,receive
95.0646,61,1,1,75,NC,UPDATE,transmit
95.3235,58,1,2,76,NC,UPDATE,receive
95.3235,62,1,1,72,NC,UPDATE,transmit
96.1557,59,0,2,67,NC,UPDATE,receive
96.1557,63,0,1,75,NC,UPDATE,transmit
97.2481,60,1,2,73,NC,UPDATE,receive
97.2481,64,1,1,70,NC,UPDATE,transmit
98.0777,61,0,2,75,NC,UPDATE,receive
98.0777,65,0,1,73,NC,UPDATE,transmit
98.3362,62,0,2,72,NC,UPDATE,receive
98.3362,66,0,1,73,NC,UPDATE,transmit
99.1689,63,1,2,75,NC,UPDATE,receive
